feature,importance,fold
atm_pe_oi_z60_lag3,330.7515482902527,6
itm_ce_oi_z60_lag1,417.8196897506714,6
itm_ce_oi_z60_lag2,382.41143894195557,6
itm_ce_oi_z60_lag3,594.2667078971863,6
itm_pe_oi_z60_lag1,518.4079365730286,6
itm_pe_oi_z60_lag2,400.47545862197876,6
itm_pe_oi_z60_lag3,570.178966999054,6
nifty_ret_1,1370.2597270011902,7
nifty_ret_3,1192.6338124275208,7
ce_ret_1,474.43635177612305,7
pe_ret_1,494.7600164413452,7
itm_ce_ret_1,765.7869024276733,7
itm_pe_ret_1,841.3908710479736,7
ce_pe_ratio,341.0206308364868,7
ce_minus_pe,379.08853912353516,7
atm_itm_spread_ce,440.85873317718506,7
atm_itm_spread_pe,322.6773490905762,7
atm_ce_oi_z60,495.75846099853516,7
atm_pe_oi_z60,318.42708015441895,7
itm_ce_oi_z60,399.0944800376892,7
itm_pe_oi_z60,351.1098108291626,7
oi_ce_change_1,631.1463289260864,7
oi_pe_change_1,390.13444328308105,7
nifty_vol_5,702.7698836326599,7
nifty_vol_15,716.6288676261902,7
atr_5,636.6777062416077,7
vol_regime,720.4359803199768,7
minute_of_day,2867.1194553375244,7
sin_md,472.0973377227783,7
cos_md,715.8441619873047,7
atm_shift,21.645599365234375,7
mom_delta,388.19666862487793,7
mom_3_sum,738.6795325279236,7
atm_itm_ce_ratio,244.39264249801636,7
atm_itm_pe_ratio,384.5447807312012,7
above_breakout_15,0.0,7
below_breakout_15,0.0,7
nifty_ret_1_lag1,795.7518239021301,7
nifty_ret_1_lag2,428.86342096328735,7
nifty_ret_1_lag3,588.5287699699402,7
nifty_ret_3_lag1,1246.1970682144165,7
nifty_ret_3_lag2,771.2728152275085,7
nifty_ret_3_lag3,1117.884047985077,7
ce_ret_1_lag1,270.1767301559448,7
ce_ret_1_lag2,445.22542905807495,7
ce_ret_1_lag3,211.96633911132812,7
pe_ret_1_lag1,217.7787847518921,7
pe_ret_1_lag2,301.21403884887695,7
