Timestamp,Spot,RSI,ATM,PCR,CE_LTP,PE_LTP,CE_OI,PE_OI,CE_Delta,PE_Delta,Status,Trade_PnL,Reason
14:18:27,26137.8,47,26150,1.49,47.45,59.35,227616,238727,0.4705,-0.5295,SCAN,0,Waiting
14:18:30,26136.8,46,26150,1.49,47.4,59.35,227616,238727,0.4705,-0.5295,SCAN,0,Waiting
14:18:34,26137.8,47,26150,1.49,47.35,59.45,227616,238727,0.4701,-0.5299,SCAN,0,Waiting
14:18:38,26137.6,47,26150,1.49,47.6,59.3,227616,238727,0.4701,-0.5299,SCAN,0,Waiting
14:18:41,26137.55,47,26150,1.49,47.65,59.2,227616,238727,0.4701,-0.5299,SCAN,0,Waiting
14:18:47,26137.25,47,26150,1.49,47.6,59.5,227616,238727,0.4661,-0.5339,SCAN,0,Waiting
14:18:50,26135.8,46,26150,1.49,48,59.15,227616,238727,0.4661,-0.5339,SCAN,0,Waiting
14:18:55,26136.25,46,26150,1.49,48.45,58.6,227616,238727,0.4661,-0.5339,SCAN,0,Waiting
14:19:00,26136.25,46,26150,1.49,48.4,58.65,227616,238727,0.4663,-0.5337,SCAN,0,Waiting
14:19:04,26136.5,46,26150,1.49,48.35,58.9,227616,238727,0.4663,-0.5337,SCAN,0,Waiting
14:19:11,26135.6,46,26150,1.49,48.4,58.7,227616,238727,0.4702,-0.5298,SCAN,0,Waiting
14:19:16,26136.1,46,26150,1.49,48.35,58.7,227616,238727,0.4702,-0.5298,SCAN,0,Waiting
14:19:18,26136.35,46,26150,1.49,48.3,58.85,227616,238727,0.4701,-0.5299,SCAN,0,Waiting
14:19:23,26137.15,47,26150,1.49,48.1,58.8,227616,238727,0.4701,-0.5299,SCAN,0,Waiting
14:19:26,26134.4,45,26150,1.49,48.15,59.1,227616,238727,0.4701,-0.5299,SCAN,0,Waiting
14:19:28,26135.6,46,26150,1.49,47.95,59.1,227616,238727,0.4701,-0.5299,SCAN,0,Waiting
14:19:32,26136.3,46,26150,1.49,48.2,58.9,227616,238727,0.4714,-0.5286,SCAN,0,Waiting
14:19:35,26136.25,46,26150,1.49,48.35,58.85,227616,238727,0.4714,-0.5286,SCAN,0,Waiting
14:19:40,26136.5,46,26150,1.49,48.35,58.6,227616,238727,0.4683,-0.5317,SCAN,0,Waiting
14:19:43,26136.15,46,26150,1.49,48.05,58.95,227616,238727,0.4683,-0.5317,SCAN,0,Waiting
