Date,Time,Type,ADX,Strike,Nifty_Ref,Buy_Price,Sell_Price,Gross_PnL,Net_PnL,Balance,Reason
2025-11-19,14:05,CE,32.4,NSE-NIFTY-25Nov25-26100-CE,26014.8,121.5,116.5,-375.0,-425.0,10358.75,SL/TRAIL
2025-11-20,14:40,CE,41.1,NSE-NIFTY-25Nov25-26250-CE,26218.4,118.0,113.0,-375.0,-425.0,9933.75,SL/TRAIL
2025-11-20,14:45,PE,38.6,NSE-NIFTY-25Nov25-26200-PE,26195.0,114.95,109.95,-375.0,-425.0,9508.75,SL/TRAIL
2025-11-20,15:05,PE,30.6,NSE-NIFTY-25Nov25-26200-PE,26186.6,114.95,109.95,-375.0,-425.0,9083.75,SL/TRAIL
2025-11-21,13:20,PE,27.0,NSE-NIFTY-25Nov25-26100-PE,26115.8,93.15,94.4,93.75,43.75,9127.5,SL/TRAIL
2025-11-24,14:20,PE,26.5,NSE-NIFTY-25Nov25-26050-PE,26040.5,73.05,81.2,611.25,561.25,9688.75,SL/TRAIL
2025-11-24,14:55,PE,34.5,NSE-NIFTY-25Nov25-26000-PE,26020.6,53.55,48.55,-375.0,-425.0,9263.75,SL/TRAIL
2025-11-24,15:05,PE,36.8,NSE-NIFTY-25Nov25-26000-PE,25977.4,78.05,79.55,112.5,62.5,9326.25,SL/TRAIL
2025-11-25,10:55,PE,45.6,NSE-NIFTY-25Nov25-26000-PE,25975.4,59.8,86.25,1983.75,1933.75,11260.0,SL/TRAIL
2025-11-25,11:45,PE,35.8,NSE-NIFTY-25Nov25-25950-PE,25952.0,40.6,35.6,-375.0,-425.0,10835.0,SL/TRAIL
2025-11-25,11:55,CE,32.5,NSE-NIFTY-25Nov25-25950-CE,25973.0,52.55,71.0,1383.75,1333.75,12168.75,SL/TRAIL
2025-12-01,11:45,PE,31.6,NSE-NIFTY-02Dec25-26200-PE,26212.4,63.3,77.65,1076.25,1026.25,13195.0,SL/TRAIL
2025-12-01,12:35,PE,44.9,NSE-NIFTY-02Dec25-26150-PE,26162.8,61.45,56.45,-375.0,-425.0,12770.0,SL/TRAIL
2025-12-01,13:20,CE,43.0,NSE-NIFTY-02Dec25-26200-CE,26195.2,72.75,67.75,-375.0,-425.0,12345.0,SL/TRAIL
2025-12-01,13:25,PE,42.1,NSE-NIFTY-02Dec25-26200-PE,26176.2,80.85,75.85,-375.0,-425.0,11920.0,SL/TRAIL
2025-12-03,10:40,PE,48.6,NSE-NIFTY-09Dec25-25900-PE,25913.0,108.85,111.75,217.5,167.5,12087.5,SL/TRAIL
2025-12-03,11:10,PE,46.5,NSE-NIFTY-09Dec25-25900-PE,25913.4,107.1,102.1,-375.0,-425.0,11662.5,SL/TRAIL
2025-12-03,11:20,PE,45.8,NSE-NIFTY-09Dec25-25900-PE,25912.0,107.35,111.55,315.0,265.0,11927.5,SL/TRAIL
2025-12-03,11:40,CE,43.9,NSE-NIFTY-09Dec25-25950-CE,25943.6,149.2,144.2,-375.0,-425.0,11502.5,SL/TRAIL
2025-12-04,11:40,PE,69.3,NSE-NIFTY-09Dec25-26050-PE,26035.0,104.5,106.6,157.5,107.5,11610.0,SL/TRAIL
2025-12-04,13:35,PE,27.9,NSE-NIFTY-09Dec25-26000-PE,26003.1,95.25,102.45,540.0,490.0,12100.0,SL/TRAIL
2025-12-04,14:20,CE,25.9,NSE-NIFTY-09Dec25-26000-CE,26001.1,120.45,124.95,337.5,287.5,12387.5,SL/TRAIL
2025-12-05,12:05,CE,42.5,NSE-NIFTY-09Dec25-26150-CE,26139.4,95.2,95.55,26.25,-23.75,12363.75,SL/TRAIL
2025-12-05,12:20,CE,38.5,NSE-NIFTY-09Dec25-26150-CE,26142.2,97.85,105.75,592.5,542.5,12906.25,SL/TRAIL
2025-12-05,14:00,PE,33.5,NSE-NIFTY-09Dec25-26150-PE,26164.2,66.6,61.6,-375.0,-425.0,12481.25,SL/TRAIL
2025-12-08,10:35,PE,26.9,NSE-NIFTY-09Dec25-26100-PE,26085.8,65.15,60.15,-375.0,-425.0,12056.25,SL/TRAIL
2025-12-08,10:50,PE,25.6,NSE-NIFTY-09Dec25-26100-PE,26084.4,65.5,60.5,-375.0,-425.0,11631.25,SL/TRAIL
2025-12-08,13:20,PE,27.5,NSE-NIFTY-09Dec25-26000-PE,26004.4,45.6,62.7,1282.5,1232.5,12863.75,SL/TRAIL
2025-12-08,14:55,CE,36.3,NSE-NIFTY-09Dec25-25950-CE,25951.0,74.35,75.3,71.25,21.25,12885.0,SL/TRAIL
2025-12-10,10:55,PE,38.5,NSE-NIFTY-16Dec25-25850-PE,25859.8,109.25,121.75,937.5,887.5,13772.5,SL/TRAIL
2025-12-10,11:25,PE,37.4,NSE-NIFTY-16Dec25-25850-PE,25861.2,111.6,111.75,11.25,-38.75,13733.75,SL/TRAIL
2025-12-10,13:20,CE,35.5,NSE-NIFTY-16Dec25-25850-CE,25827.4,129.35,131.55,165.0,115.0,13848.75,SL/TRAIL
2025-12-15,11:30,CE,60.8,NSE-NIFTY-16Dec25-26000-CE,25991.2,64.25,59.25,-375.0,-425.0,13423.75,SL/TRAIL
2025-12-15,11:45,PE,56.9,NSE-NIFTY-16Dec25-25950-PE,25971.2,59.85,54.85,-375.0,-425.0,12998.75,SL/TRAIL
2025-12-15,11:50,CE,54.2,NSE-NIFTY-16Dec25-26000-CE,25996.3,65.5,77.6,907.5,857.5,13856.25,SL/TRAIL
2025-12-17,11:25,PE,31.2,NSE-NIFTY-23Dec25-25850-PE,25829.0,114.25,119.0,356.25,306.25,14162.5,SL/TRAIL
2025-12-17,11:50,CE,25.9,NSE-NIFTY-23Dec25-25850-CE,25845.2,134.5,129.5,-375.0,-425.0,13737.5,SL/TRAIL
2025-12-17,12:00,PE,25.4,NSE-NIFTY-23Dec25-25800-PE,25817.0,96.2,101.05,363.75,313.75,14051.25,SL/TRAIL
