time,close_SPOT,EMA5_SPOT,EMA13_SPOT,close_FUT,VWAP_FUT,OI_RAW,OI_CHG,OPT_CLOSE,OPT_OI
2025-12-19 09:25:00,25950.3,25920.08917813932,25875.904882032362,26008.0,25888.530097793155,318093.0,157889.0,77.0,318579.0
2025-12-19 09:30:00,25963.5,25934.559452092883,25888.418470313452,26027.0,25896.51833361985,315177.0,-2916.0,83.35,322929.0
2025-12-19 09:35:00,25966.75,25945.28963472859,25899.608688840104,26024.8,25898.532522810066,157354.0,-157823.0,83.5,165165.0
2025-12-19 09:40:00,25956.4,25948.993089819065,25907.721733291517,26016.0,25899.789080979328,314388.0,157034.0,78.55,337818.0
2025-12-19 09:45:00,25943.85,25947.278726546043,25912.882914249873,26003.6,25901.828958383554,314094.0,-294.0,73.3,344105.0
2025-12-19 09:50:00,25953.55,25949.369151030696,25918.692497928467,26017.3,25902.734039038387,157050.0,-157044.0,78.6,173906.0
2025-12-19 09:55:00,25958.85,25952.529434020464,25924.429283938684,26022.0,25903.530567308524,314022.0,156972.0,78.15,358425.0
2025-12-19 10:00:00,25957.7,25954.252956013643,25929.182243376017,26015.7,25904.36516278372,313891.0,-131.0,77.45,369354.0
2025-12-19 10:05:00,25951.55,25953.351970675765,25932.377637179445,26011.9,25905.341344966546,156854.0,-157037.0,73.35,182364.0
2025-12-19 10:10:00,25935.6,25947.43464711718,25932.83797472524,25995.0,25905.687483784546,313932.0,157078.0,65.75,375516.0
2025-12-19 10:15:00,25946.7,25947.18976474479,25934.81826405021,26011.3,25906.303710593336,156936.0,-156996.0,70.3,389250.0
2025-12-19 10:20:00,25949.6,25947.99317649653,25936.929940614464,26005.0,25906.569595963832,156939.0,3.0,70.5,198985.0
2025-12-19 10:25:00,25959.9,25951.962117664356,25940.21137766954,26020.0,25907.245954739756,313861.0,156922.0,74.6,398861.0
2025-12-19 10:30:00,25955.3,25953.074745109574,25942.366895145322,26016.0,25908.13436947783,313806.0,-55.0,75.0,400228.0
2025-12-19 10:35:00,25962.75,25956.29983007305,25945.27876726742,26024.8,25908.617062303852,156852.0,-156954.0,76.75,200259.0
2025-12-19 10:40:00,25974.85,25962.483220048704,25949.503229086364,26036.6,25910.824093049578,313677.0,156825.0,80.4,401330.0
2025-12-19 10:45:00,25967.05,25964.005480032472,25952.009910645455,26024.9,25912.202874670875,313329.0,-348.0,76.05,402752.0
2025-12-19 10:50:00,25972.1,25966.703653354984,25954.87992341039,26029.0,25912.648356858885,156627.0,-156702.0,77.0,201174.0
2025-12-19 10:55:00,25962.4,25965.269102236656,25955.95422006605,26012.0,25913.084112942637,313103.0,156476.0,72.0,402447.0
2025-12-19 11:00:00,25951.05,25960.529401491105,25955.253617199473,26007.0,25913.6259362521,312882.0,-221.0,69.9,402042.0
2025-12-19 11:05:00,25946.75,25955.93626766074,25954.03881474241,26011.5,25914.079339726242,156326.0,-156556.0,69.9,203154.0
2025-12-19 11:10:00,25954.75,25955.540845107163,25954.140412636352,26017.9,25914.2363208286,312702.0,156376.0,70.75,414992.0
2025-12-19 11:15:00,25952.8,25954.62723007144,25953.948925116874,26009.1,25914.462816894073,156347.0,-156355.0,67.7,421663.0
2025-12-19 11:20:00,25946.7,25951.984820047626,25952.913364385895,26005.1,25914.626942589253,156337.0,-10.0,65.1,211661.0
2025-12-19 11:25:00,25931.55,25945.173213365084,25949.86145518791,25985.5,25915.052493430685,312613.0,156276.0,58.05,427449.0
2025-12-19 11:30:00,25929.75,25940.03214224339,25946.988390161066,25982.2,25915.865594963154,312910.0,297.0,56.9,430903.0
2025-12-19 11:35:00,25934.4,25938.154761495596,25945.19004870949,25994.8,25916.13819558492,156454.0,-156456.0,58.75,219013.0
2025-12-19 11:40:00,25913.4,25929.9031743304,25940.648613179565,25969.0,25916.61992174918,312951.0,156497.0,49.3,442554.0
2025-12-19 11:45:00,25917.2,25925.668782886936,25937.298811296772,25977.9,25917.128942065177,312778.0,-173.0,51.65,451360.0
2025-12-19 11:50:00,25921.35,25924.229188591293,25935.020409682948,25981.2,25917.252839068937,156411.0,-156367.0,52.95,232171.0
2025-12-19 11:55:00,25916.7,25921.719459060863,25932.40320829967,25976.1,25917.377661325005,312665.0,156254.0,54.1,465885.0
2025-12-19 12:00:00,25934.55,25925.996306040575,25932.70989282829,25992.8,25917.829917268882,156420.0,-156245.0,57.3,465316.0
2025-12-19 12:05:00,25951.05,25934.347537360383,25935.329908138534,26000.0,25918.149998766552,312868.0,156448.0,61.4,232788.0
2025-12-19 12:10:00,25943.95,25937.54835824026,25936.56134983303,25992.0,25918.280498631673,313069.0,201.0,60.05,467135.0
2025-12-19 12:15:00,25937.9,25937.665572160175,25936.752585571172,25988.0,25918.350047976677,156548.0,-156521.0,55.35,234503.0
2025-12-19 12:20:00,25932.3,25935.877048106784,25936.116501918146,25980.0,25918.432840657435,313134.0,156586.0,53.85,465124.0
2025-12-19 12:25:00,25935.7,25935.81803207119,25936.057001644127,25980.6,25918.51662939547,313152.0,18.0,55.2,468510.0
2025-12-19 12:30:00,25951.55,25941.062021380796,25938.270287123538,26005.0,25918.756374262568,156580.0,-156572.0,62.35,235080.0
2025-12-19 12:35:00,25959.65,25947.258014253868,25941.324531820177,26012.1,25919.182477719336,313160.0,156580.0,65.0,473742.0
2025-12-19 12:40:00,25953.65,25949.38867616925,25943.085312988725,26005.3,25919.361348558305,313154.0,-6.0,63.55,469941.0
2025-12-19 12:45:00,25951.35,25950.042450779503,25944.265982561767,26004.3,25919.460927188487,156579.0,-156575.0,61.65,234044.0
