Timestamp,Nifty_Price,RSI,Status,Strike_Selected,CE_Price,PE_Price,Reason
2025-12-17 11:36:00,25818.95,53.8732394366182,SCAN,25800,0.0,0,Wait
2025-12-17 11:37:00,25818.65,53.8732394366182,SCAN,25800,0.0,0,Wait
2025-12-17 11:38:00,25816.6,53.8732394366182,SCAN,25800,0.0,0,Wait
2025-12-17 11:39:00,25821.35,53.8732394366182,SCAN,25800,0.0,0,Wait
2025-12-17 11:40:00,25827.8,53.11860940695387,SCAN,25850,0.0,0,Wait
2025-12-17 11:41:00,25830.2,53.11860940695387,SCAN,25850,0.0,0,Wait
2025-12-17 11:42:00,25831.05,53.11860940695387,SCAN,25850,0.0,0,Wait
2025-12-17 11:43:00,25831.7,53.11860940695387,SCAN,25850,0.0,0,Wait
2025-12-17 11:44:00,25827.95,53.11860940695387,SCAN,25850,0.0,0,Wait
2025-12-17 11:45:00,25828.05,63.86593204774991,SCAN,25850,0.0,0,Wait
2025-12-17 11:46:00,25834.75,63.86593204774991,SCAN,25850,0.0,0,Wait
2025-12-17 11:47:00,25842.75,63.86593204774991,SCAN,25850,0.0,0,Wait
2025-12-17 11:48:00,25841.25,63.86593204774991,SCAN,25850,0.0,0,Wait
2025-12-17 11:49:00,25845.55,63.86593204774991,SCAN,25850,0.0,0,Wait
2025-12-17 11:50:00,25849.4,54.19087136929539,SCAN,25850,0.0,0,Wait
2025-12-17 11:51:00,25835.05,54.19087136929539,SCAN,25850,0.0,0,Wait
2025-12-17 11:52:00,25827.55,54.19087136929539,SCAN,25850,0.0,0,Wait
2025-12-17 11:53:00,25830.45,54.19087136929539,SCAN,25850,0.0,0,Wait
2025-12-17 11:54:00,25829.7,54.19087136929539,SCAN,25850,0.0,0,Wait
2025-12-17 11:55:00,25831.85,45.188794153472024,SCAN,25850,0.0,0,Wait
2025-12-17 11:56:00,25824.9,45.188794153472024,SCAN,25800,0.0,0,Wait
2025-12-17 11:57:00,25825.45,45.188794153472024,SCAN,25850,0.0,0,Wait
2025-12-17 11:58:00,25824.35,45.188794153472024,SCAN,25800,0.0,0,Wait
2025-12-17 11:59:00,25817.4,45.188794153472024,SCAN,25800,0.0,0,Wait
2025-12-17 12:00:00,25810.4,42.14312760318079,SCAN,25800,0.0,0,Wait
2025-12-17 12:01:00,25804.7,42.14312760318079,SCAN,25800,0.0,0,Wait
2025-12-17 12:02:00,25797.25,42.14312760318079,SCAN,25800,0.0,0,Wait
2025-12-17 12:03:00,25803.85,42.14312760318079,SCAN,25800,0.0,0,Wait
2025-12-17 12:04:00,25797.6,42.14312760318079,SCAN,25800,0.0,0,Wait
2025-12-17 12:05:00,25807.1,39.49579831932762,SCAN,25800,0.0,0,Wait
2025-12-17 12:06:00,25801.9,39.49579831932762,SCAN,25800,0.0,0,Wait
2025-12-17 12:07:00,25795.1,39.49579831932762,SCAN,25800,0.0,0,Wait
2025-12-17 12:08:00,25793.45,39.49579831932762,SCAN,25800,0.0,0,Wait
2025-12-17 12:09:00,25791.2,39.49579831932762,SCAN,25800,0.0,0,Wait
2025-12-17 12:10:00,25804.15,40.68767908309446,SCAN,25800,0.0,0,Wait
2025-12-17 12:11:00,25807.3,40.68767908309446,SCAN,25800,0.0,0,Wait
2025-12-17 12:12:00,25800.8,40.68767908309446,SCAN,25800,0.0,0,Wait
2025-12-17 12:13:00,25802.15,40.68767908309446,SCAN,25800,0.0,0,Wait
2025-12-17 12:14:00,25796.25,40.68767908309446,SCAN,25800,0.0,0,Wait
2025-12-17 12:15:00,25796.9,41.83350895679654,SCAN,25800,0.0,0,Wait
2025-12-17 12:16:00,25798.8,41.83350895679654,SCAN,25800,0.0,0,Wait
2025-12-17 12:17:00,25801.6,41.83350895679654,SCAN,25800,0.0,0,Wait
2025-12-17 12:18:00,25803.15,41.83350895679654,SCAN,25800,0.0,0,Wait
2025-12-17 12:19:00,25808.3,41.83350895679654,SCAN,25800,0.0,0,Wait
2025-12-17 12:20:00,25806.25,33.699759532806254,SCAN,25800,0.0,0,Wait
2025-12-17 12:21:00,25805.65,33.699759532806254,SCAN,25800,0.0,0,Wait
2025-12-17 12:22:00,25804.35,33.699759532806254,SCAN,25800,0.0,0,Wait
2025-12-17 12:23:00,25805.15,33.699759532806254,SCAN,25800,0.0,0,Wait
2025-12-17 12:24:00,25794.6,33.699759532806254,SCAN,25800,0.0,0,Wait
2025-12-17 12:25:00,25798.2,32.248520710059,SCAN,25800,0.0,0,Wait
2025-12-17 12:26:00,25791.0,32.248520710059,SCAN,25800,0.0,0,Wait
2025-12-17 12:27:00,25790.6,32.248520710059,SCAN,25800,0.0,0,Wait
2025-12-17 12:28:00,25787.0,32.248520710059,SCAN,25800,0.0,0,Wait
2025-12-17 12:29:00,25785.7,32.248520710059,SCAN,25800,0.0,0,Wait
2025-12-17 12:30:00,25791.5,38.544112713853586,SCAN,25800,0.0,0,Wait
2025-12-17 12:31:00,25793.7,38.544112713853586,SCAN,25800,0.0,0,Wait
2025-12-17 12:32:00,25790.5,38.544112713853586,SCAN,25800,0.0,0,Wait
2025-12-17 12:33:00,25791.35,38.544112713853586,SCAN,25800,0.0,0,Wait
2025-12-17 12:34:00,25794.1,38.544112713853586,SCAN,25800,0.0,0,Wait
2025-12-17 12:35:00,25791.45,40.301648544369584,SCAN,25800,0.0,0,Wait
2025-12-17 12:36:00,25790.95,40.301648544369584,SCAN,25800,0.0,0,Wait
2025-12-17 12:37:00,25787.75,40.301648544369584,SCAN,25800,0.0,0,Wait
2025-12-17 12:38:00,25787.05,40.301648544369584,SCAN,25800,0.0,0,Wait
2025-12-17 12:39:00,25787.5,40.301648544369584,SCAN,25800,0.0,0,Wait
2025-12-17 12:40:00,25787.9,43.850806451612826,SCAN,25800,0.0,0,Wait
2025-12-17 12:41:00,25787.1,43.850806451612826,SCAN,25800,0.0,0,Wait
2025-12-17 12:42:00,25786.95,43.850806451612826,SCAN,25800,0.0,0,Wait
2025-12-17 12:43:00,25789.2,43.850806451612826,SCAN,25800,0.0,0,Wait
2025-12-17 12:44:00,25795.3,43.850806451612826,SCAN,25800,0.0,0,Wait
2025-12-17 12:45:00,25795.85,42.25984796129965,SCAN,25800,0.0,0,Wait
2025-12-17 12:46:00,25799.4,42.25984796129965,SCAN,25800,0.0,0,Wait
2025-12-17 12:47:00,25801.5,42.25984796129965,SCAN,25800,0.0,0,Wait
2025-12-17 12:48:00,25792.95,42.25984796129965,SCAN,25800,0.0,0,Wait
2025-12-17 12:49:00,25798.95,42.25984796129965,SCAN,25800,0.0,0,Wait
2025-12-17 12:50:00,25809.4,36.561662198390096,SCAN,25800,0.0,0,Wait
2025-12-17 12:51:00,25808.55,36.561662198390096,SCAN,25800,0.0,0,Wait
2025-12-17 12:52:00,25810.8,36.561662198390096,SCAN,25800,0.0,0,Wait
2025-12-17 12:53:00,25800.65,36.561662198390096,SCAN,25800,0.0,0,Wait
2025-12-17 12:54:00,25787.85,36.561662198390096,SCAN,25800,0.0,0,Wait
