Timestamp,Strike,Type,Symbol,LTP,OI,OI_Change,Volume,Delta,Gamma,Theta,Vega,IV
2025-12-24 11:43:32,26400.0,PE,NIFTY25DEC26400PE,205.6,26012,0,158721,-0.786,0.0013,-5.2383,9.9218,6.5013
2025-12-24 11:43:32,26450.0,CE,NIFTY25DEC26450CE,17.85,46957,0,337019,0.1561,0.0011,-4.3273,8.1492,6.5388
2025-12-24 11:43:32,26450.0,PE,NIFTY25DEC26450PE,246.75,3508,0,23233,-0.8439,0.0011,-4.3273,8.1492,6.5388
2025-12-24 11:43:32,26500.0,CE,NIFTY25DEC26500CE,12.1,121461,0,453122,0.1083,0.0008,-3.3571,6.3328,6.5278
2025-12-24 11:43:32,26500.0,PE,NIFTY25DEC26500PE,291,26948,0,47774,-0.8917,0.0008,-3.3571,6.3328,6.5278
2025-12-24 11:43:32,26550.0,CE,NIFTY25DEC26550CE,8.25,29641,0,268926,0.0786,0.0006,-2.7272,4.9934,6.7254
2025-12-24 11:43:32,26550.0,PE,NIFTY25DEC26550PE,337.35,821,0,4968,-0.9214,0.0006,-2.7272,4.9934,6.7254
2025-12-24 11:43:32,26600.0,CE,NIFTY25DEC26600CE,5.85,75517,0,308507,0.0578,0.0005,-2.2293,3.9401,6.9672
2025-12-24 11:43:32,26600.0,PE,NIFTY25DEC26600PE,384.95,2894,0,5850,-0.9422,0.0005,-2.2293,3.9401,6.9672
2025-12-24 11:43:32,26650.0,CE,NIFTY25DEC26650CE,4.45,28771,0,169774,0.0444,0.0004,-1.8887,3.1911,7.2883
2025-12-24 11:43:32,26650.0,PE,NIFTY25DEC26650PE,425,486,0,978,-0.9556,0.0004,-1.8887,3.1911,7.2883
2025-12-24 11:43:32,26700.0,CE,NIFTY25DEC26700CE,3.7,77771,0,255584,0.0311,0.0003,-1.4393,2.3868,7.4254
2025-12-24 11:43:32,26700.0,PE,NIFTY25DEC26700PE,481.15,2370,0,2544,-0.9689,0.0003,-1.4393,2.3868,7.4254
2025-12-24 11:43:32,26750.0,CE,NIFTY25DEC26750CE,3,26707,0,132545,0.0011,0,-0.049,0.1211,4.9824
2025-12-24 11:43:32,26750.0,PE,NIFTY25DEC26750PE,530.9,354,0,389,-0.9989,0,-0.049,0.1211,4.9824
2025-12-24 11:43:32,26800.0,CE,NIFTY25DEC26800CE,2.6,76253,0,231059,0.0237,0.0002,-1.3055,1.9059,8.4347
2025-12-24 11:43:32,26800.0,PE,NIFTY25DEC26800PE,580,2249,0,720,-0.9763,0.0002,-1.3055,1.9059,8.4347
2025-12-24 11:43:32,26850.0,CE,NIFTY25DEC26850CE,2.3,18660,0,98971,0.0207,0.0002,-1.225,1.6957,8.8956
2025-12-24 11:43:32,26850.0,PE,NIFTY25DEC26850PE,612.55,140,0,178,-0.9793,0.0002,-1.225,1.6957,8.8956
2025-12-24 11:43:32,26900.0,CE,NIFTY25DEC26900CE,2.05,42125,0,220814,0.0179,0.0001,-1.1359,1.5001,9.3248
2025-12-24 11:43:32,26900.0,PE,NIFTY25DEC26900PE,676.1,629,0,249,-0.9821,0.0001,-1.1359,1.5001,9.3248
2025-12-24 11:43:32,26950.0,CE,NIFTY25DEC26950CE,1.95,15852,0,107200,0.0167,0.0001,-1.13,1.4104,9.8659
2025-12-24 11:43:32,26950.0,PE,NIFTY25DEC26950PE,726.95,26,0,25,-0.9833,0.0001,-1.13,1.4104,9.8659
2025-12-24 11:43:32,27000.0,CE,NIFTY25DEC27000CE,1.8,149882,0,288684,0.0149,0.0001,-1.0758,1.2835,10.3212
2025-12-24 11:43:32,27000.0,PE,NIFTY25DEC27000PE,779.9,13405,0,2835,-0.9851,0.0001,-1.0758,1.2835,10.3212
2025-12-24 11:43:32,27050.0,CE,NIFTY25DEC27050CE,1.6,6943,0,69048,0.0127,0.0001,-0.9687,1.1182,10.6678
2025-12-24 11:43:32,27050.0,PE,NIFTY25DEC27050PE,807.7,10,0,3,-0.9873,0.0001,-0.9687,1.1182,10.6678
2025-12-24 11:43:32,27100.0,CE,NIFTY25DEC27100CE,1.4,28873,0,94755,0.0106,0.0001,-0.8535,0.9582,10.9683
2025-12-24 11:43:32,27100.0,PE,NIFTY25DEC27100PE,875.4,262,0,36,-0.9894,0.0001,-0.8535,0.9582,10.9683
2025-12-24 11:43:32,27150.0,CE,NIFTY25DEC27150CE,1.35,7241,0,35609,0.0102,0.0001,-0.8623,0.9232,11.5011
2025-12-24 11:43:32,27150.0,PE,NIFTY25DEC27150PE,922.55,64,0,13,-0.9898,0.0001,-0.8623,0.9232,11.5011
