option_type,strike,entry_time,entry_price,entry_spot,entry_fut,exit_time,exit_price,exit_reason,pnl_points,pnl_rupees_gross,transaction_cost,pnl_rupees,hold_minutes,is_winner,peak_price,expiry,exit_slippage,signal_time,entry_delay,capital_after
PE,26100,2025-12-08 10:00:00,67.9,26082.35,26235.9,2025-12-08 10:18:00,63.599999999999994,STOP_LOSS,-4.3,-322.5,42.38,-364.89,18.0,False,69.1,2025-12-09,-1.0,2025-12-08 09:57:00,180.0,1103.3099999999968
PE,26100,2025-12-08 10:27:00,59.95,26097.8,26245.9,2025-12-08 10:39:00,62.4,TRAILING_STOP,2.45,183.75,42.34,141.41,12.0,True,68.0,2025-12-09,-0.75,2025-12-08 10:24:00,180.0,1244.7199999999968
PE,26100,2025-12-08 10:51:00,66.3,26092.0,26244.0,2025-12-08 10:57:00,59.9,STOP_LOSS,-6.4,-480.0,42.25,-522.25,6.0,False,66.3,2025-12-09,-1.0,2025-12-08 10:48:00,180.0,722.4699999999968
PE,26050,2025-12-08 11:03:00,51.45,26064.6,26210.2,2025-12-08 11:15:00,45.2,STOP_LOSS,-6.25,-468.75,41.7,-510.44,12.0,False,51.45,2025-12-09,-1.0,2025-12-08 11:00:00,180.0,212.02999999999685
PE,26050,2025-12-08 11:30:00,46.55,26064.0,26211.0,2025-12-08 11:48:00,42.9,TRAILING_STOP,-3.65,-273.75,41.61,-315.36,18.0,False,51.65,2025-12-09,-0.75,2025-12-08 11:27:00,180.0,-103.33000000000317
PE,25800,2025-12-09 09:24:00,39.6,25814.0,25956.3,2025-12-09 09:33:00,68.6,TARGET,29.0,2175.0,42.57,2132.43,9.0,True,64.2,2025-12-09,-0.5,2025-12-09 09:21:00,180.0,2029.0999999999967
CE,25950,2025-12-10 09:24:00,101.25,25874.8,25975.0,2025-12-10 09:33:00,114.5,TARGET,13.25,993.75,44.29,949.46,9.0,True,118.25,2025-12-16,-0.5,2025-12-10 09:21:00,180.0,2978.5599999999968
CE,26000,2025-12-10 09:39:00,101.15,25911.0,26020.0,2025-12-10 09:57:00,89.9,STOP_LOSS,-11.25,-843.75,43.37,-887.12,18.0,False,102.4,2025-12-16,-1.0,2025-12-10 09:36:00,180.0,2091.439999999997
CE,25950,2025-12-10 10:03:00,125.15,25902.45,26010.0,2025-12-10 10:21:00,136.25,TRAILING_STOP,11.1,832.5,45.11,787.39,18.0,True,132.65,2025-12-16,-0.75,2025-12-10 10:00:00,180.0,2878.8299999999967
CE,26000,2025-12-10 10:27:00,112.5,25918.9,26035.0,2025-12-10 10:33:00,104.6,STOP_LOSS,-7.9,-592.5,43.92,-636.42,6.0,False,112.5,2025-12-16,-1.0,2025-12-10 10:24:00,180.0,2242.4099999999967
CE,25950,2025-12-10 10:45:00,123.9,25902.7,26007.8,2025-12-10 10:51:00,108.1,STOP_LOSS,-15.8,-1185.0,44.05,-1229.05,6.0,False,123.9,2025-12-16,-1.0,2025-12-10 10:42:00,180.0,1013.3599999999967
CE,25850,2025-12-11 09:24:00,103.1,25775.85,25887.4,2025-12-11 09:39:00,78.1,STOP_LOSS,-25.0,-1875.0,42.93,-1917.93,15.0,False,108.05,2025-12-16,-1.0,2025-12-11 09:21:00,180.0,-904.5700000000033
CE,26000,2025-12-12 09:30:00,123.5,26035.4,26141.5,2025-12-12 09:45:00,118.35,TRAILING_STOP,-5.15,-386.25,44.44,-430.69,15.0,False,128.7,2025-12-16,-0.75,2025-12-12 09:27:00,180.0,-1335.2600000000034
PE,25950,2025-12-12 10:09:00,67.4,25976.05,26086.1,2025-12-12 10:18:00,55.6,STOP_LOSS,-11.8,-885.0,42.09,-927.09,9.0,False,69.5,2025-12-16,-1.0,2025-12-12 10:06:00,180.0,-2262.3500000000035
PE,25950,2025-12-15 09:24:00,85.4,25930.35,26020.0,2025-12-15 09:48:00,79.65,TARGET,-5.75,-431.25,42.99,-474.24,24.0,False,96.55,2025-12-16,-0.5,2025-12-15 09:21:00,180.0,-2736.590000000004
CE,25950,2025-12-15 10:09:00,70.6,25944.4,26028.1,2025-12-15 10:30:00,83.25,TRAILING_STOP,12.65,948.75,43.12,905.63,21.0,True,80.55,2025-12-16,-0.75,2025-12-15 10:06:00,180.0,-1830.9600000000037
CE,25950,2025-12-15 10:36:00,74.5,25961.35,26038.3,2025-12-15 10:51:00,88.5,TARGET,14.0,1050.0,43.32,1006.68,15.0,True,90.9,2025-12-16,-0.5,2025-12-15 10:33:00,180.0,-824.2800000000037
CE,26000,2025-12-15 10:57:00,62.6,25987.25,26064.7,2025-12-15 11:09:00,53.95,STOP_LOSS,-8.65,-648.75,42.02,-690.77,12.0,False,62.6,2025-12-16,-1.0,2025-12-15 10:54:00,180.0,-1515.0500000000038
CE,26000,2025-12-15 11:30:00,62.5,25984.15,26066.3,2025-12-15 11:36:00,46.9,STOP_LOSS,-15.6,-1170.0,41.76,-1211.76,6.0,False,62.5,2025-12-16,-1.0,2025-12-15 11:27:00,180.0,-2726.810000000004
CE,26000,2025-12-15 11:51:00,73.1,26008.6,26095.1,2025-12-15 12:15:00,78.75,TRAILING_STOP,5.65,423.75,42.95,380.8,24.0,True,82.9,2025-12-16,-0.75,2025-12-15 11:48:00,180.0,-2346.010000000004
CE,26000,2025-12-15 12:21:00,80.2,26025.05,26109.0,2025-12-15 12:42:00,70.6,TRAILING_STOP,-9.6,-720.0,42.65,-762.65,21.0,False,84.45,2025-12-16,-0.75,2025-12-15 12:18:00,180.0,-3108.660000000004
CE,26000,2025-12-15 12:54:00,76.05,26010.0,26090.0,2025-12-15 13:21:00,79.4,TRAILING_STOP,3.35,251.25,42.98,208.27,27.0,True,85.7,2025-12-16,-0.75,2025-12-15 12:51:00,180.0,-2900.390000000004
CE,26050,2025-12-15 13:36:00,55.45,26029.5,26112.5,2025-12-15 13:48:00,53.15,STOP_LOSS,-2.3,-172.5,41.99,-214.49,12.0,False,55.45,2025-12-16,-1.0,2025-12-15 13:33:00,180.0,-3114.8800000000037
CE,26050,2025-12-15 13:54:00,55.75,26027.75,26110.0,2025-12-15 14:00:00,48.3,STOP_LOSS,-7.45,-558.75,41.81,-600.56,6.0,False,55.75,2025-12-16,-1.0,2025-12-15 13:51:00,180.0,-3715.4400000000037
PE,25950,2025-12-16 09:24:00,63.3,25926.55,26005.0,2025-12-16 09:42:00,53.45,TRAILING_STOP,-9.85,-738.75,42.0,-780.75,18.0,False,71.6,2025-12-16,-0.75,2025-12-16 09:21:00,180.0,-4496.190000000004
PE,25950,2025-12-16 09:57:00,59.75,25906.1,25988.0,2025-12-16 10:03:00,83.55,TARGET,23.8,1785.0,43.13,1741.87,6.0,True,75.75,2025-12-16,-0.5,2025-12-16 09:54:00,180.0,-2754.3200000000043
PE,25900,2025-12-16 10:09:00,49.5,25890.4,25971.0,2025-12-16 10:21:00,33.8,STOP_LOSS,-15.7,-1177.5,41.27,-1218.77,12.0,False,49.5,2025-12-16,-1.0,2025-12-16 10:06:00,180.0,-3973.0900000000042
PE,25900,2025-12-16 10:30:00,33.95,25915.65,25995.0,2025-12-16 10:51:00,34.85,TRAILING_STOP,0.9,67.5,41.31,26.19,21.0,True,38.85,2025-12-16,-0.75,2025-12-16 10:27:00,180.0,-3946.900000000004
PE,25900,2025-12-16 10:57:00,37.15,25900.15,25984.0,2025-12-16 11:06:00,34.8,TRAILING_STOP,-2.35,-176.25,41.3,-217.56,9.0,False,41.4,2025-12-16,-0.75,2025-12-16 10:54:00,180.0,-4164.460000000005
PE,25900,2025-12-16 11:15:00,36.55,25896.0,25982.8,2025-12-16 11:48:00,44.7,TIME_EXIT,8.15,611.25,41.68,569.57,33.0,True,46.15,2025-12-16,-0.75,2025-12-16 11:12:00,180.0,-3594.8900000000044
PE,25900,2025-12-16 12:00:00,44.25,25873.35,25959.8,2025-12-16 12:12:00,35.8,STOP_LOSS,-8.45,-633.75,41.34,-675.09,12.0,False,44.25,2025-12-16,-1.0,2025-12-16 11:57:00,180.0,-4269.980000000004
PE,25900,2025-12-16 12:48:00,34.65,25884.45,25966.4,2025-12-16 13:03:00,29.5,STOP_LOSS,-5.15,-386.25,41.11,-427.36,15.0,False,34.65,2025-12-16,-1.0,2025-12-16 12:45:00,180.0,-4697.340000000004
CE,25950,2025-12-17 09:30:00,117.85,25909.65,25988.0,2025-12-17 09:45:00,104.85,TRAILING_STOP,-13.0,-975.0,43.93,-1018.93,15.0,False,125.05,2025-12-23,-0.75,2025-12-17 09:27:00,180.0,-5716.270000000004
PE,25750,2025-12-18 09:36:00,77.2,25778.2,25851.1,2025-12-18 09:45:00,92.8,TARGET,15.6,1170.0,43.48,1126.52,9.0,True,89.45,2025-12-23,-0.5,2025-12-18 09:33:00,180.0,-4589.750000000004
PE,25750,2025-12-18 09:51:00,97.4,25747.3,25819.8,2025-12-18 09:57:00,96.2,STOP_LOSS,-1.2,-90.0,43.61,-133.61,6.0,False,97.4,2025-12-23,-1.0,2025-12-18 09:48:00,180.0,-4723.360000000003
PE,25750,2025-12-18 10:03:00,95.5,25750.95,25825.0,2025-12-18 10:09:00,82.3,STOP_LOSS,-13.2,-990.0,43.09,-1033.09,6.0,False,95.5,2025-12-23,-1.0,2025-12-18 10:00:00,180.0,-5756.4500000000035
CE,25850,2025-12-18 10:24:00,120.6,25825.05,25906.0,2025-12-18 10:30:00,114.65,STOP_LOSS,-5.95,-446.25,44.3,-490.55,6.0,False,120.6,2025-12-23,-1.0,2025-12-18 10:21:00,180.0,-6247.000000000004
CE,25900,2025-12-18 10:45:00,105.35,25858.15,25933.4,2025-12-18 10:54:00,97.25,STOP_LOSS,-8.1,-607.5,43.65,-651.15,9.0,False,105.35,2025-12-23,-1.0,2025-12-18 10:42:00,180.0,-6898.150000000003
CE,25950,2025-12-19 09:24:00,95.35,25936.4,25993.6,2025-12-19 09:33:00,106.75,TARGET,11.4,855.0,44.0,811.0,9.0,True,110.0,2025-12-23,-0.5,2025-12-19 09:21:00,180.0,-6087.150000000003
CE,25950,2025-12-19 09:39:00,110.4,25965.4,26024.9,2025-12-19 09:51:00,98.0,STOP_LOSS,-12.4,-930.0,43.67,-973.68,12.0,False,110.55,2025-12-23,-1.0,2025-12-19 09:36:00,180.0,-7060.830000000004
CE,25950,2025-12-19 10:00:00,107.05,25963.55,26027.1,2025-12-19 10:09:00,97.95,STOP_LOSS,-9.1,-682.5,43.67,-726.17,9.0,False,107.05,2025-12-23,-1.0,2025-12-19 09:57:00,180.0,-7787.000000000004
CE,25950,2025-12-19 10:18:00,96.0,25942.05,26004.7,2025-12-19 10:45:00,106.3,TARGET,10.3,772.5,43.99,728.51,27.0,True,107.6,2025-12-23,-0.5,2025-12-19 10:15:00,180.0,-7058.490000000003
CE,25950,2025-12-19 10:51:00,107.05,25975.0,26030.0,2025-12-19 11:00:00,98.75,STOP_LOSS,-8.3,-622.5,43.7,-666.2,9.0,False,107.05,2025-12-23,-1.0,2025-12-19 10:48:00,180.0,-7724.690000000003
PE,25950,2025-12-19 11:27:00,83.15,25931.55,25985.5,2025-12-19 11:39:00,85.35,TRAILING_STOP,2.2,165.0,43.2,121.8,12.0,True,89.85,2025-12-23,-0.75,2025-12-19 11:24:00,180.0,-7602.890000000003
