timestamp,nifty_ltp,expiry,atm_strike,ce_symbol,pe_symbol,atm_ce_ltp,atm_pe_ltp,open,high,low,close
2025-11-14 11:54:00,25800.0,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,143.6,95.5,25797.85,25802.3,25797.85,25800.0
2025-11-14 11:55:00,25793.15,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,140.05,98.95,25799.45,25800.0,25792.9,25793.15
2025-11-14 11:56:00,25794.5,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,140.8,98.9,25794.15,25795.5,25790.15,25794.5
2025-11-14 11:57:00,25791.35,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,140.0,100.0,25793.75,25796.7,25790.0,25791.35
2025-11-14 11:58:00,25793.65,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,142.9,96.8,25791.35,25794.0,25790.5,25793.65
2025-11-14 11:59:00,25789.45,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,137.55,101.3,25792.75,25796.35,25788.3,25789.45
2025-11-14 12:00:00,25794.75,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,141.4,97.75,25788.95,25796.5,25788.95,25794.75
2025-11-14 12:01:00,25792.45,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,138.5,100.65,25793.85,25799.25,25791.15,25792.45
2025-11-14 12:02:00,25791.05,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,138.0,102.2,25791.85,25794.15,25789.4,25791.05
2025-11-14 12:03:00,25793.15,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,140.25,100.15,25789.55,25793.4,25788.8,25793.15
2025-11-14 12:04:00,25796.95,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,143.05,98.25,25792.75,25798.8,25791.7,25796.95
2025-11-14 12:05:00,25795.2,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,145.25,95.25,25795.95,25796.7,25792.55,25795.2
2025-11-14 12:06:00,25799.9,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,146.0,94.15,25795.5,25800.5,25795.1,25799.9
2025-11-14 12:07:00,25797.1,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,142.9,95.9,25798.5,25800.4,25796.6,25797.1
2025-11-14 12:08:00,25800.95,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,144.5,94.55,25797.5,25801.95,25797.5,25800.95
2025-11-14 12:09:00,25797.1,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,141.2,96.75,25800.65,25802.55,25795.65,25797.1
2025-11-14 12:10:00,25801.6,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,144.4,93.2,25795.55,25803.05,25795.55,25801.6
2025-11-14 12:11:00,25809.95,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,151.2,87.8,25802.15,25811.4,25800.9,25809.95
2025-11-14 12:12:00,25832.85,18Nov25,25850,NSE-NIFTY-18Nov25-25850-CE,NSE-NIFTY-18Nov25-25850-PE,136.15,95.55,25810.1,25834.95,25809.7,25832.85
2025-11-14 12:13:00,25831.05,18Nov25,25850,NSE-NIFTY-18Nov25-25850-CE,NSE-NIFTY-18Nov25-25850-PE,134.55,97.85,25832.1,25833.15,25828.05,25831.05
2025-11-14 12:14:00,25826.4,18Nov25,25850,NSE-NIFTY-18Nov25-25850-CE,NSE-NIFTY-18Nov25-25850-PE,131.05,100.3,25831.1,25831.1,25823.85,25826.4
2025-11-14 12:15:00,25821.3,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,155.1,82.25,25824.75,25827.4,25820.7,25821.3
2025-11-14 12:16:00,25824.1,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,158.9,79.9,25821.45,25825.5,25819.65,25824.1
2025-11-14 12:17:00,25823.6,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,161.1,77.65,25823.5,25824.3,25817.9,25823.6
2025-11-14 12:18:00,25820.35,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,157.75,80.95,25823.8,25824.15,25819.45,25820.35
2025-11-14 12:19:00,25826.15,18Nov25,25850,NSE-NIFTY-18Nov25-25850-CE,NSE-NIFTY-18Nov25-25850-PE,132.05,97.65,25820.1,25826.15,25816.95,25826.15
2025-11-14 12:20:00,25835.5,18Nov25,25850,NSE-NIFTY-18Nov25-25850-CE,NSE-NIFTY-18Nov25-25850-PE,137.25,92.1,25825.9,25836.85,25825.3,25835.5
2025-11-14 12:21:00,25827.55,18Nov25,25850,NSE-NIFTY-18Nov25-25850-CE,NSE-NIFTY-18Nov25-25850-PE,129.4,98.35,25834.65,25836.6,25827.55,25827.55
2025-11-14 12:22:00,25821.9,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,157.35,79.8,25826.35,25826.6,25818.1,25821.9
2025-11-14 12:23:00,25828.75,18Nov25,25850,NSE-NIFTY-18Nov25-25850-CE,NSE-NIFTY-18Nov25-25850-PE,133.15,93.85,25821.0,25829.15,25820.5,25828.75
2025-11-14 12:24:00,25829.5,18Nov25,25850,NSE-NIFTY-18Nov25-25850-CE,NSE-NIFTY-18Nov25-25850-PE,132.65,95.0,25828.5,25831.15,25827.85,25829.5
2025-11-14 12:25:00,25833.85,18Nov25,25850,NSE-NIFTY-18Nov25-25850-CE,NSE-NIFTY-18Nov25-25850-PE,135.15,92.4,25829.0,25835.2,25827.25,25833.85
2025-11-14 12:26:00,25834.55,18Nov25,25850,NSE-NIFTY-18Nov25-25850-CE,NSE-NIFTY-18Nov25-25850-PE,136.0,92.2,25833.6,25837.0,25830.3,25834.55
2025-11-14 12:27:00,25835.15,18Nov25,25850,NSE-NIFTY-18Nov25-25850-CE,NSE-NIFTY-18Nov25-25850-PE,135.2,93.25,25833.95,25839.25,25832.8,25835.15
2025-11-14 12:28:00,25833.3,18Nov25,25850,NSE-NIFTY-18Nov25-25850-CE,NSE-NIFTY-18Nov25-25850-PE,135.05,92.95,25834.2,25838.85,25832.3,25833.3
2025-11-14 12:29:00,25834.1,18Nov25,25850,NSE-NIFTY-18Nov25-25850-CE,NSE-NIFTY-18Nov25-25850-PE,133.4,94.05,25833.3,25838.0,25832.15,25834.1
2025-11-14 12:30:00,25829.4,18Nov25,25850,NSE-NIFTY-18Nov25-25850-CE,NSE-NIFTY-18Nov25-25850-PE,129.4,97.8,25833.15,25836.3,25828.7,25829.4
2025-11-14 12:31:00,25827.95,18Nov25,25850,NSE-NIFTY-18Nov25-25850-CE,NSE-NIFTY-18Nov25-25850-PE,130.05,97.6,25829.3,25830.4,25826.85,25827.95
2025-11-14 12:32:00,25817.6,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,144.35,86.8,25828.5,25828.5,25812.0,25817.6
2025-11-14 12:33:00,25809.9,18Nov25,25800,NSE-NIFTY-18Nov25-25800-CE,NSE-NIFTY-18Nov25-25800-PE,143.95,88.2,25817.15,25817.15,25807.7,25809.9
