option_type,strike,entry_time,entry_price,entry_spot,entry_fut,exit_time,exit_price,exit_reason,pnl_points,pnl_rupees_gross,transaction_cost,pnl_rupees,hold_minutes,is_winner,peak_price,expiry,exit_slippage,signal_time,entry_delay,capital_after
PE,26050,2025-12-08 11:00:00,49.6,26061.15,26206.2,2025-12-08 11:15:00,45.2,STOP_LOSS,-4.4,-330.0,41.7,-371.69,15.0,False,49.6,2025-12-09,-1.0,2025-12-08 10:55:00,300.0,5505.390000000001
PE,26050,2025-12-08 11:55:00,46.2,26059.4,26213.6,2025-12-08 12:30:00,65.55,TIME_EXIT,19.35,1451.25,42.46,1408.79,35.0,True,54.8,2025-12-09,-0.75,2025-12-08 11:50:00,300.0,6914.180000000001
PE,26000,2025-12-08 13:20:00,55.5,25971.4,26118.4,2025-12-08 13:35:00,105.85,TARGET,50.35,3776.25,43.97,3732.28,15.0,True,71.75,2025-12-09,-0.5,2025-12-08 13:15:00,300.0,10646.460000000001
PE,25800,2025-12-09 10:35:00,56.2,25812.85,25944.3,2025-12-09 10:45:00,44.2,STOP_LOSS,-12.0,-900.0,41.66,-941.66,10.0,False,56.2,2025-12-09,-1.0,2025-12-09 10:30:00,300.0,9704.800000000001
CE,25950,2025-12-10 10:05:00,121.45,25914.2,26022.6,2025-12-10 10:20:00,137.6,TARGET,16.15,1211.25,45.16,1166.09,15.0,True,132.65,2025-12-16,-0.5,2025-12-10 10:00:00,300.0,10870.890000000001
CE,26000,2025-12-10 10:35:00,109.25,25917.9,26026.0,2025-12-10 10:45:00,98.55,STOP_LOSS,-10.7,-802.5,43.7,-846.2,10.0,False,109.25,2025-12-16,-1.0,2025-12-10 10:30:00,300.0,10024.69
PE,25850,2025-12-10 10:55:00,114.1,25835.3,25942.0,2025-12-10 11:05:00,110.25,TARGET,-3.85,-288.75,44.13,-332.88,10.0,False,129.55,2025-12-16,-0.5,2025-12-10 10:50:00,300.0,9691.810000000001
PE,25850,2025-12-10 11:35:00,118.15,25842.1,25947.2,2025-12-10 11:45:00,118.25,STOP_LOSS,0.1,7.5,44.43,-36.93,10.0,False,118.15,2025-12-16,-1.0,2025-12-10 11:30:00,300.0,9654.880000000001
PE,25800,2025-12-10 12:30:00,114.0,25791.7,25892.3,2025-12-10 12:45:00,128.25,TARGET,14.25,1068.75,44.81,1023.94,15.0,True,129.1,2025-12-16,-0.5,2025-12-10 12:25:00,300.0,10678.820000000002
PE,25800,2025-12-10 14:00:00,116.5,25764.1,25875.2,2025-12-10 14:10:00,129.85,TARGET,13.35,1001.25,44.87,956.38,10.0,True,135.2,2025-12-16,-0.5,2025-12-10 13:55:00,300.0,11635.2
PE,25750,2025-12-10 14:40:00,108.8,25751.05,25861.0,2025-12-10 15:05:00,110.5,TRAILING_STOP,1.7,127.5,44.14,83.36,25.0,True,115.75,2025-12-16,-0.75,2025-12-10 14:35:00,300.0,11718.560000000001
CE,25850,2025-12-11 09:25:00,106.8,25798.25,25915.6,2025-12-11 09:45:00,72.55,STOP_LOSS,-34.25,-2568.75,42.72,-2611.47,20.0,False,106.8,2025-12-16,-1.0,2025-12-11 09:20:00,300.0,9107.090000000002
CE,26000,2025-12-12 10:20:00,108.5,25959.2,26061.0,2025-12-12 10:30:00,85.75,STOP_LOSS,-22.75,-1706.25,43.22,-1749.47,10.0,False,108.5,2025-12-16,-1.0,2025-12-12 10:15:00,300.0,7357.620000000002
CE,26000,2025-12-15 10:50:00,59.85,25992.35,26073.0,2025-12-15 11:05:00,57.45,TRAILING_STOP,-2.4,-180.0,42.15,-222.15,15.0,False,64.9,2025-12-16,-0.75,2025-12-15 10:45:00,300.0,7135.470000000002
