entry_time,exit_time,option_type,strike,strike_type,expiry,entry_price,exit_price,entry_spot,exit_spot,pnl_points,pnl,exit_reason,hold_time_minutes,is_winner
2025-12-10 09:21:00,2025-12-10 09:30:00,CE,25850,ATM,2025-12-16,155.95,173.05,25865.1,25898.7,17.100000000000023,1282.5000000000018,TARGET,9.0,True
2025-12-11 09:16:00,2025-12-11 09:18:00,PE,25750,ATM,2025-12-16,113.8,102.95,25731.25,25752.2,-10.849999999999994,-813.7499999999995,STOP_LOSS,2.0,False
2025-12-11 09:20:00,2025-12-11 09:28:00,CE,25750,ATM,2025-12-16,159.3,171.6,25774.75,25799.45,12.299999999999983,922.4999999999987,TARGET,8.0,True
2025-12-11 09:30:00,2025-12-11 09:36:00,CE,25800,ATM,2025-12-16,131.0,121.65,25783.05,25761.6,-9.349999999999994,-701.2499999999995,STOP_LOSS,6.0,False
2025-12-11 09:38:00,2025-12-11 09:40:00,PE,25750,ATM,2025-12-16,115.45,130.65,25730.75,25703.7,15.200000000000003,1140.0000000000002,TARGET,2.0,True
2025-12-11 09:43:00,2025-12-11 09:48:00,PE,25700,ATM,2025-12-16,95.95,94.15,25724.6,25729.05,-1.7999999999999972,-134.99999999999977,TRAILING_STOP,5.0,False
2025-12-11 09:50:00,2025-12-11 10:04:00,PE,25750,ATM,2025-12-16,114.9,105.85,25729.15,25739.0,-9.050000000000011,-678.7500000000009,STOP_LOSS,14.0,False
2025-12-11 10:06:00,2025-12-11 10:13:00,CE,25750,ATM,2025-12-16,152.75,165.25,25771.15,25787.25,12.5,937.5,TARGET,7.0,True
2025-12-11 10:20:00,2025-12-11 10:21:00,CE,25800,ATM,2025-12-16,149.7,141.35,25813.1,25800.85,-8.349999999999994,-626.2499999999995,STOP_LOSS,1.0,False
2025-12-11 10:23:00,2025-12-11 10:32:00,CE,25800,ATM,2025-12-16,149.0,162.15,25809.55,25834.85,13.150000000000006,986.2500000000005,TARGET,9.0,True
2025-12-11 10:34:00,2025-12-11 10:54:00,CE,25850,ATM,2025-12-16,130.2,121.85,25830.8,25821.6,-8.349999999999994,-626.2499999999995,STOP_LOSS,20.0,False
2025-12-11 11:08:00,2025-12-11 11:11:00,PE,25750,ATM,2025-12-16,86.4,73.1,25771.1,25797.25,-13.300000000000011,-997.5000000000009,STOP_LOSS,3.0,False
2025-12-11 11:13:00,2025-12-11 11:20:00,CE,25800,ATM,2025-12-16,134.3,147.65,25800.35,25818.05,13.349999999999994,1001.2499999999995,TARGET,7.0,True
2025-12-11 11:23:00,2025-12-11 11:52:00,CE,25800,ATM,2025-12-16,143.7,156.2,25815.4,25843.15,12.5,937.5,TARGET,29.0,True
2025-12-11 11:54:00,2025-12-11 12:01:00,CE,25850,ATM,2025-12-16,123.1,135.6,25838.0,25857.0,12.5,937.5,TARGET,7.0,True
2025-12-12 09:29:00,2025-12-12 09:31:00,CE,26000,ATM,2025-12-16,114.8,127.55,26009.3,26032.35,12.75,956.25,TARGET,2.0,True
2025-12-12 09:33:00,2025-12-12 09:48:00,CE,26050,ATM,2025-12-16,95.1,86.65,26026.75,26010.45,-8.449999999999989,-633.7499999999991,STOP_LOSS,15.0,False
2025-12-12 09:58:00,2025-12-12 10:08:00,PE,26000,ATM,2025-12-16,80.35,93.85,26001.6,25973.45,13.5,1012.5,TARGET,10.0,True
2025-12-12 10:12:00,2025-12-12 10:14:00,PE,26000,ATM,2025-12-16,90.95,81.75,25976.7,25989.15,-9.200000000000003,-690.0000000000002,STOP_LOSS,2.0,False
