Timestamp,Strategy,Spot,RSI,RSI_Ready,VWAP,ATM_Strike,PCR,CE_Price,PE_Price,CE_OI,PE_OI,CE_Delta,PE_Delta,Status,PnL,Reason
13:08:51,STRATEGY_C,25889.2,42,True,26083.67,25900,0.69,142,96.2,41970,52029,0.564,-0.436,SCANNING,0,Waiting for entry
13:09:03,STRATEGY_C,25887.7,39,True,26083.67,25900,0.69,142.15,96.1,41970,52029,0.5649,-0.4351,SCANNING,0,Waiting for entry
13:09:16,STRATEGY_C,25886.8,38,True,26083.67,25900,0.69,141.7,96.2,41970,52029,0.5643,-0.4357,SCANNING,0,Waiting for entry
13:09:25,STRATEGY_C,25886.9,38,True,26083.66,25900,0.69,141.9,96.15,41970,52029,0.5653,-0.4347,SCANNING,0,Waiting for entry
13:09:37,STRATEGY_C,25889.0,41,True,26083.65,25900,0.69,142,96.2,41970,52029,0.565,-0.435,SCANNING,0,Waiting for entry
13:09:50,STRATEGY_C,25886.65,37,True,26083.64,25900,0.69,141.85,95.95,41970,52029,0.5649,-0.4351,SCANNING,0,Waiting for entry
13:10:01,STRATEGY_C,25887.4,38,True,26083.63,25900,0.69,141,96.25,41970,52029,0.5644,-0.4356,SCANNING,0,Waiting for entry
13:10:13,STRATEGY_C,25888.2,40,True,26083.62,25900,0.69,141.35,96.55,41970,52029,0.5642,-0.4358,SCANNING,0,Waiting for entry
13:10:25,STRATEGY_C,25886.75,37,True,26083.54,25900,0.69,141.5,96.2,41970,52029,0.5642,-0.4358,SCANNING,0,Waiting for entry
13:10:36,STRATEGY_C,25884.65,35,True,26083.44,25900,0.69,137.2,97.8,41970,52029,0.5638,-0.4362,SCANNING,0,Waiting for entry
13:11:00,STRATEGY_C,25881.25,31,True,26083.32,25900,0.69,137,98.2,41970,52029,0.5508,-0.4492,IN_POSITION_PE,-131.25,Monitoring @ Rs.77.45
13:11:13,STRATEGY_C,25883.5,36,True,26083.31,25900,0.69,138.25,97.95,41970,52029,0.5526,-0.4474,IN_POSITION_PE,-176.25,Monitoring @ Rs.77.95
13:11:28,STRATEGY_C,25882.45,34,True,26083.23,25900,0.69,138.05,98.3,42468,51074,0.5584,-0.4416,IN_POSITION_PE,-138.75,Monitoring @ Rs.77.65
13:11:43,STRATEGY_C,25884.25,37,True,26083.23,25900,0.68,137.7,98.35,42468,51074,0.5554,-0.4446,IN_POSITION_PE,-146.25,Monitoring @ Rs.77.60
