target_min,threshold,sl_frac,tp_frac,trades,wins,precision,trades_per_day,avg_pnl,total_pnl
3,0.6,,0.001,3311,0,0.0,1.5293302540415705,-42.78349321673953,-68496.37263999999
3,0.6,,0.0006,3311,0,0.0,1.5293302540415705,-43.59548442223609,-69796.37055999998
3,0.58,0.0003,,8843,13,0.0014700893361981229,4.084526558891455,-39.83455259522931,-107712.63021750006
3,0.58,0.0003,0.001,8843,0,0.0,4.084526558891455,-40.42336300573227,-109304.77356750006
3,0.58,0.0005,,8843,13,0.0014700893361981229,4.084526558891455,-40.66399682784763,-109955.4474225
3,0.58,0.0003,0.0006,8843,0,0.0,4.084526558891455,-41.22103441475594,-111461.67705750006
3,0.58,0.0005,0.001,8843,0,0.0,4.084526558891455,-41.25280723835059,-111547.5907725
3,0.58,0.0005,0.0006,8843,0,0.0,4.084526558891455,-42.05047864737427,-113704.49426250003
3,0.58,,,8843,13,0.0014700893361981229,4.084526558891455,-42.274563978365386,-114310.42099750001
3,0.58,,0.001,8843,0,0.0,4.084526558891455,-42.863374388868344,-115902.56434750001
3,0.58,,0.0006,8843,0,0.0,4.084526558891455,-43.661045797892015,-118059.46783750001
3,0.56,0.0003,,24095,30,0.0012450715916165179,11.129330254041571,-40.11271785209848,-198798.62967500006
3,0.56,0.0003,0.001,24095,0,0.0,11.129330254041571,-40.76223769673124,-202017.65002500004
3,0.56,0.0005,,24095,30,0.0012450715916165179,11.129330254041571,-41.01863296307505,-203288.34496499994
3,0.56,0.0003,0.0006,24095,0,0.0,11.129330254041571,-41.54710183313157,-205907.43668500008
3,0.56,0.0005,0.001,24095,0,0.0,11.129330254041571,-41.66815280770782,-206507.36531499994
3,0.56,0.0005,0.0006,24095,0,0.0,11.129330254041571,-42.45301694410815,-210397.151975
3,0.56,,,24095,30,0.0012450715916165179,11.129330254041571,-42.76811047518159,-211958.75551499994
3,0.56,,0.001,24095,0,0.0,11.129330254041571,-43.41763031981435,-215177.77586499992
3,0.56,,0.0006,24095,0,0.0,11.129330254041571,-44.20249445621468,-219067.56252499996
3,0.54,0.0003,,57818,70,0.0012106956311183368,26.70577367205543,-39.941710486930624,-362151.48898499995
3,0.54,0.0003,0.001,57818,0,0.0,26.70577367205543,-40.689998724495425,-368936.218435
3,0.54,0.0005,,57818,70,0.0012106956311183368,26.70577367205543,-40.90445008712914,-370880.6489399999
3,0.54,0.0003,0.0006,57818,0,0.0,26.70577367205543,-41.536399779971326,-376610.536805
3,0.54,0.0005,0.001,57818,0,0.0,26.70577367205543,-41.652738324693935,-377665.3783899999
3,0.54,0.0005,0.0006,57818,0,0.0,26.70577367205543,-42.49913938016984,-385339.6967599999
3,0.54,,,57818,70,0.0012106956311183368,26.70577367205543,-42.81222968346751,-388178.4865399999
3,0.54,,0.001,57818,0,0.0,26.70577367205543,-43.5605179210323,-394963.2159899999
3,0.54,,0.0006,57818,0,0.0,26.70577367205543,-44.4069189765082,-402637.5343599999
3,0.52,0.0003,,118927,132,0.0011099245755799775,54.93163972286374,-39.890427668480285,-645187.7771100001
3,0.52,0.0003,0.001,118927,0,0.0,54.93163972286374,-40.69135950661556,-658142.0486600001
3,0.52,0.0005,,118927,132,0.0011099245755799775,54.93163972286374,-40.90491395294919,-661596.0782750001
